species,longitude,latitude,eventDate,coordinateUncertaintyM,basisOfRecord,license
Macropus giganteus,147.308,-35.718944,2023-10-08,30.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,152.445154,-31.887005,2020-07-30,500.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,147.8831,-35.88748,2021-04-06,10.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,150.182595,-33.382414,2023-09-18,1.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,150.337108,-30.452976,2024-05-12,50.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,150.79114,-29.30392,2020-04-02,10.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,150.43,-34.454388,2022-09-23,500.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,149.223371,-35.196686,2025-04-14,30.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,144.2524,-37.374,2023-10-26,10.0,OCCURRENCE,CC-BY 4.0 (Int)
Macropus giganteus,149.318894,-35.188092,2024-04-16,30.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,145.46992,-18.4605,2020-12-15,20.0,OCCURRENCE,CC-BY 4.0 (Int)
Macropus giganteus,149.61945,-37.46262,2023-09-25,5.0,OCCURRENCE,CC-BY 4.0 (Int)
Macropus giganteus,148.908304,-34.827775,2025-05-30,500.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,150.268901,-30.377075,2025-10-26,50.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,148.13805,-37.2609,2021-06-30,5.0,OCCURRENCE,CC-BY 4.0 (Int)
Macropus giganteus,149.912898,-37.248513,2024-07-06,30.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,144.1152,-37.2953,2021-12-03,1.0,OCCURRENCE,CC-BY 4.0 (Int)
Macropus giganteus,153.037695,-30.890652,2024-03-18,30.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,148.36748,-32.237986,2024-08-29,500.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,150.84802,-30.34857,2022-07-15,50.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,149.863451,-33.668231,2025-01-17,30.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,149.025201,-34.977696,2024-08-04,500.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,143.41119,-37.28753,2021-12-24,1.0,OCCURRENCE,CC-BY 4.0 (Int)
Macropus giganteus,150.83702,-30.33848,2022-08-15,50.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,144.2134,-37.3907,2023-11-25,10.0,OCCURRENCE,CC-BY 4.0 (Int)
