species,latitude,longitude,coordinate_uncertainty_m,basis_of_record,event_date
Macropus giganteus,-19.82622,147.63997,2000.0,OCCURRENCE,1999-08-02
Macropus giganteus,-19.47943,144.16223,100.0,OCCURRENCE,2022-12-21
Macropus giganteus,-20.16817,146.010467,4.0,HUMAN_OBSERVATION,2023-08-25
Macropus giganteus,-19.61858,144.16126,50.0,OCCURRENCE,
Macropus giganteus,-17.54102,145.31084,100.0,OCCURRENCE,2005-09-29
Macropus giganteus,-19.09291,144.45051,50.0,OCCURRENCE,2002-12-10
Macropus giganteus,-20.04726,146.270443,19.0,HUMAN_OBSERVATION,2024-10-12
Macropus giganteus,-17.58357,145.30211,150.0,OCCURRENCE,2000-04-24
Macropus giganteus,-18.2326,145.5294,,HUMAN_OBSERVATION,2018-07-17
Macropus giganteus,-21.673927,149.44342,220.0,HUMAN_OBSERVATION,2024-02-28
Macropus giganteus,-16.568229,145.194881,1223.0,HUMAN_OBSERVATION,2025-09-07
Macropus giganteus,-17.60087,145.31796,500.0,OCCURRENCE,2000-04-25
Macropus giganteus,-35.373209,139.142621,905.0,HUMAN_OBSERVATION,2017-04-15
Macropus giganteus,-20.1419,145.44964,100.0,OCCURRENCE,2011-08-31
Macropus giganteus,-33.9,138.6,,HUMAN_OBSERVATION,2021-08-14
Macropus giganteus,-18.34332,145.24723,50.0,OCCURRENCE,2022-07-21
Macropus giganteus,-20.11798,145.42719,100.0,OCCURRENCE,2011-08-30
Macropus giganteus,-17.49864,145.28578,100.0,OCCURRENCE,2004-10-25
Macropus giganteus,-18.24706,145.33333,50.0,OCCURRENCE,
Macropus giganteus,-20.924806,149.047865,16.0,OCCURRENCE,2000-11-01
Macropus giganteus,-17.63841,145.37699,150.0,OCCURRENCE,2000-01-15
Macropus giganteus,-16.984552,145.415559,19.0,HUMAN_OBSERVATION,2023-03-26
Macropus giganteus,-20.924778,149.049545,4.0,HUMAN_OBSERVATION,2024-09-10
Macropus giganteus,-17.91612,145.3528,300.0,OCCURRENCE,2017-09-30
Macropus giganteus,-20.915562,149.043815,391.0,HUMAN_OBSERVATION,2025-08-21
Macropus giganteus,-13.88448,143.27379,500.0,OCCURRENCE,1978-11-30
Macropus giganteus,-21.49009,148.39277,1800.0,OCCURRENCE,1996-04-20
Macropus giganteus,-19.20248,145.93019,100.0,OCCURRENCE,2012-05-08
Macropus giganteus,-17.47988,145.27299,100.0,OCCURRENCE,2004-11-30
Macropus giganteus,-17.63675,145.28653,150.0,OCCURRENCE,2000-02-06
Macropus giganteus,-14.36995,143.34627,100.0,OCCURRENCE,2005-11-08
Macropus giganteus,-20.35027,144.46563,100.0,OCCURRENCE,2018-11-18
Macropus giganteus,-18.211711,144.568585,905.0,HUMAN_OBSERVATION,2012-11-17
Macropus giganteus,-17.70102,145.09169,50.0,OCCURRENCE,2002-12-28
Macropus giganteus,-17.53579,145.30727,100.0,OCCURRENCE,2008-09-08
Macropus giganteus,-17.57904,145.30121,150.0,OCCURRENCE,2001-10-27
Macropus giganteus,-18.265,143.2133,,MATERIAL_SAMPLE,2008-02-03
Macropus giganteus,-19.78177,146.85111,900.0,OCCURRENCE,1979-08-20
Macropus giganteus,-19.56444,144.07262,,HUMAN_OBSERVATION,
Macropus giganteus,-17.63993,145.39725,100.0,OCCURRENCE,2004-11-20
Macropus giganteus,-15.61721,144.94418,100.0,OCCURRENCE,2016-02-07
Macropus giganteus,-19.398653,145.972733,3.0,HUMAN_OBSERVATION,2026-01-08
Macropus giganteus,-18.14517,145.32765,50.0,OCCURRENCE,2002-12-28
Macropus giganteus,-20.924837,149.048076,229.0,HUMAN_OBSERVATION,2013-12-23
Macropus giganteus,-18.204217,144.575592,3.0,HUMAN_OBSERVATION,2026-06-06
Macropus giganteus,-19.53656,144.20349,100.0,OCCURRENCE,2018-11-14
Macropus giganteus,-19.434616,146.706638,500.0,HUMAN_OBSERVATION,2019-08-12
Macropus giganteus,-19.674396,146.933585,15.0,HUMAN_OBSERVATION,2020-12-12
Macropus giganteus,-16.983062,145.415908,613.0,HUMAN_OBSERVATION,2019-07-06
Macropus giganteus,-19.001933,144.979144,77.0,HUMAN_OBSERVATION,2025-09-30
Macropus giganteus,-19.19342,146.05605,100.0,OCCURRENCE,2014-05-16
Macropus giganteus,-16.566008,145.201247,1973.0,HUMAN_OBSERVATION,2022-07-29
