series,samplePointCount,sourceFile,year,month,monthName,temperatureC,precipitationMm,validTemperaturePointCount,validRainfallPointCount
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2023,3,Mar,21.5,69.8,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2023,4,Apr,16.9,112.2,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2023,5,May,12.9,48.8,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2023,6,Jun,12.1,35.3,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2023,7,Jul,12.4,28.8,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2023,8,Aug,13.2,60.0,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2023,9,Sep,16.0,26.4,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2023,10,Oct,17.6,48.8,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2023,11,Nov,19.5,116.8,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2023,12,Dec,22.1,108.3,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2024,1,Jan,22.9,114.7,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2024,2,Feb,22.8,103.8,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2024,3,Mar,21.3,40.5,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2024,4,Apr,17.5,204.5,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2024,5,May,14.6,156.3,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2024,6,Jun,11.5,204.3,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2024,7,Jul,11.4,78.6,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2024,8,Aug,14.4,41.3,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2024,9,Sep,15.4,57.1,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2024,10,Oct,17.0,47.5,300,300
